CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,Condition,Time,Session,IndicatedTrial,LatencyFirstLand,LatencyFirstLand2,LatencyFirstLandSummedAcrossCol_L_andCol_M,Total seconds in pt1 video (from when experimenter leaves view),"LatencyFirstTimeWithin20cmOfObject (pt2 latency starts at p2 video, so need to add total time of pt1 video to total)",LatencyFirstTimeWithin20cmOfObject (pt2 latency starts from pt1 beginning),LatencyFirstTouchToObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView(sec),ClosestDistanceToApparatus,TrialEndTimeStamp,TrialDuration,Notes
2021-02-04,AJB,A090SB 2020-05-08 ExploreObj Time2 Familiar T1 (pt. 2),2020-05-08,MM,A090SB,Object,Familiar,2,n/a,1,,166.60,,,n/a,,n/a,n/a,n/a,n/a,466.00,166.20,Far,,632.00,
2021-02-04,AJB,A090SB 2020-05-08 ExploreObj Time2 Novel T1 (pt. 1),2020-05-08,MM,A090SB,Object,Novel,2,n/a,1,72.00,72.00,,,n/a,,n/a,n/a,n/a,n/a,1740.00,326.80,Far,,2066.60,
2021-02-04,AJB,A090SB 2020-05-08 ExploreObj Time2 Novel T1 (pt. 2),2020-05-08,MM,A090SB,Object,Novel,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,502.40,165.40,Far,,667.60,
2021-02-05,AJB,A096NS 2020-04-28 ExploreEnv Time1 Familiar T1 (pt. 1),2020-04-28,MM,A096NS,Environment,Familiar,1,n/a,1,929.20,929.20,,,929.20,,n/a,1000.40,3.60,6.20,77.00,1944.40,Near,,2031.00,
2021-02-05,AJB,A096NS 2020-04-28 ExploreEnv Time1 Familiar T1 (pt. 2),2020-04-28,MM,A096NS,Environment,Familiar,1,n/a,1,,28.20,,,28.20,,n/a,n/a,n/a,5.60,32.40,651.80,Near,,689.60,
2021-02-05,AJB,A096NS 2020-04-28 ExploreEnv Time1 Novel T1 (pt. 1),2020-04-28,MM,A096NS,Environment,Novel,1,n/a,1,918.60,918.60,,,926.80,926.80,n/a,n/a,n/a,74.80,177.00,1738.60,Near,,1990.20,
2021-02-05,AJB,A096NS 2020-04-28 ExploreEnv Time1 Novel T1 (pt. 2),2020-04-28,MM,A096NS,Environment,Novel,1,n/a,1,,88.40,,,94.20,,n/a,n/a,n/a,20.60,137.80,566.40,Near,,724.60,
2021-02-05,AJB,A096NS 2020-05-09 ExploreEnv Time2 Familiar T1 (pt. 1),2020-05-09,MM,A096NS,Environment,Familiar,2,n/a,1,236.60,236.60,,,236.60,,n/a,1454.00,9.80,171.20,307.80,1623.00,Near,,2111.60,
2021-02-05,AJB,A096NS 2020-05-09 ExploreEnv Time2 Familiar T1 (pt. 2),2020-05-09,MM,A096NS,Environment,Familiar,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,609.60,OutOfView,,609.60,No solomon output excel file b/c nothing happened
2021-02-05,AJB,A096NS 2020-05-09 ExploreEnv Time2 Novel T1 (pt. 1),2020-05-09,MM,A096NS,Environment,Novel,2,n/a,1,891.00,891.00,,,892.80,892.80,n/a,n/a,n/a,258.60,611.20,1179.40,Near,,2049.00,
2021-02-05,AJB,A096NS 2020-05-09 ExploreEnv Time2 Novel T1 (pt. 2),2020-05-09,MM,A096NS,Environment,Novel,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,674.60,OutOfView,,674.60,No solomon output excel file b/c nothing happened
2021-02-05,AJB,A096NS 2020-04-29 ExploreObj Time1 Familiar T1 (pt. 1),2020-04-29,MM,A096NS,Object,Familiar,1,n/a,1,1995.40,1995.40,,,n/a,,n/a,n/a,n/a,n/a,11.80,1995.00,Far,,2006.60,
2021-02-05,AJB,A096NS 2020-04-29 ExploreObj Time1 Familiar T1 (pt. 2),2020-04-29,MM,A096NS,Object,Familiar,1,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,144.60,588.20,Far,,732.60,
2021-02-05,AJB,A096NS 2020-04-29 ExploreObj Time1 Novel T1 (pt. 1),2020-04-29,MM,A096NS,Object,Novel,1,n/a,1,1649.80,1649.80,,,n/a,,n/a,n/a,n/a,n/a,88.40,1929.80,Far,,2018.00,
2021-02-05,AJB,A096NS 2020-04-29 ExploreObj Time1 Novel T1 (pt. 2),2020-04-29,MM,A096NS,Object,Novel,1,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,704.20,OutOfView,,704.20,No solomon output excel file b/c nothing happened
2021-02-05,AJB,A096NS 2020-05-10 ExploreObj Time2 Familiar T1 (pt. 1),2020-05-10,KM,A096NS,Object,Familiar,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,2105.20,OutOfView,,2105.20,No solomon output excel file b/c nothing happened
2021-02-05,AJB,A096NS 2020-05-10 ExploreObj Time2 Familiar T1 (pt. 2),2020-05-10,KM,A096NS,Object,Familiar,2,n/a,1,2255,149.60,,,n/a,,n/a,n/a,n/a,n/a,6.00,608.80,Far,,614.60,
2021-02-05,AJB,A096NS 2020-05-10 ExploreObj Time2 Novel T1 (pt. 1),2020-05-10,KM,A096NS,Object,Novel,2,n/a,1,646.40,646.40,,,n/a,,n/a,n/a,n/a,n/a,79.80,2065.60,Far,,2145.20,
2021-02-05,AJB,A096NS 2020-05-10 ExploreObj Time2 Novel T1 (pt. 2),2020-05-10,KM,A096NS,Object,Novel,2,n/a,1,,n/a,,,n/a,,n/a,n/a,n/a,n/a,n/a,570.60,OutOfView,,570.60,No solomon output excel file b/c nothing happened
