CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Name,Test,Condition,Item,Time,Session,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
3/8/21,KM,Chimi & Chalupa 2019-3-21 ExploreObj Time1 Novel,3/21/19,KM,A025GO,Chalupa,Exploration,Novel,Object,1,2,120,n/a,n/a,n/a,n/a,480,2220,Far,2700,n/a,0,n/a,"approached to 8m from object. Despite file name, Chimichanga (A023OY) was not around anymore when I put out the novel object"
12/3/20,KM,A021-K 2018-12-21 ExploreEnv Time1 Novel S1.mp4,12/21/18,KM,A021-K,Pico,Exploration,Novel,Environment,1,1,206,n/a,n/a,n/a,n/a,120,2580,Far,2700,n/a,n/a,n/a,Pico approached to ~5m away from tent
3/11/21,KM,A021-K 2019-1-4 ExploreObj Familiar and Novel T1,1/4/19,KM,A021-K,Pico,Exploration,Familiar,Object,1,1,90,n/a,n/a,n/a,n/a,30,690,Far,720,n/a,n/a,n/a,3m from sticks
3/11/21,KM,A021-K 2019-1-4 ExploreObj Familiar and Novel T1,1/4/19,KM,A021-K,Pico,Exploration,Novel,Object,1,1,3360,n/a,n/a,n/a,n/a,2700,0,Far,2700,n/a,n/a,n/a,Stayed on top of building >10m away during novel trial
3/11/21,KM,A021-K 2019-12-3 ExploreEnv Time2 Familiar S1,12/3/19,KM,A021-K,Pico,Exploration,Familiar,Environment,1,2,33,n/a,n/a,n/a,69,0,651,Near,720,n/a,n/a,n/a,"ate at cracker pile, then flushed by person and didn't come back"
3/11/21,KM,A021-K 2019-12-10 ExploreEnv Time2 Novel S2,12/10/19,KM,A021-K,Pico,Exploration,Novel,Environment,2,2,0,n/a,n/a,n/a,n/a,30,2670,Far,2700,n/a,n/a,n/a,"at 4m when I set up tent, then moved to >10m on roof."
12/3/20,KM,A009-L & A015OO 2018-12-21 ExploreEnv Time1 Novel S1.mp4,12/21/18,KM,A015OO,Naranja,Exploration,Novel,Environment,1,1,1680,n/a,n/a,n/a,n/a,140,2560,Far,2700,n/a,0,n/a,She showed up at min 28 and approached to 3m away from tent
12/3/20,KM,"A007-S, A009-L, A018BB, A032RR 2019-1-4 ExploreObj Time1 Familiar S1",1/4/19,KM,A018BB,Tortilla,Exploration,Familiar,Object,1,1,15,n/a,n/a,n/a,n/a,165,2535,Far,2700,n/a,0,n/a,As close as 1.5m
12/3/20,KM,"A007-S, A009-L, A018BB, A032RR 2019-1-4 ExploreObj Time1 Familiar S1",1/4/19,KM,A032RR,Roja,Exploration,Familiar,Object,1,1,40,220,n/a,n/a,40,200,2460,Near,2700,n/a,0,n/a,As close as 15cm
3/8/21,KM,Chimi & Chalupa 2019-3-21 ExploreObj Time1 Familiar,3/21/19,KM,A023OY,Chimichanga,Exploration,Familiar,Object,1,2,1904,n/a,n/a,n/a,n/a,101,4279,Far,4380,n/a,0,n/a,approached to 0.5m from familiar object
