Bird,Experiment,NoMotorActionsCoder1,NoMotorActionsCoder2,Action,ActionPresentCoder1,ActionPresentCoder2,MotCoder1,MotCoder2
Queso,Boldness,,,GapeHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,GapeUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Boldness,,,StandOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,MAB Plastic,10,8,PeckVert,Yes,Yes,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PeckHorz,Yes,Yes,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PeckUpDown,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PeckOnTop,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PushVert,Yes,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PushHorz,Yes,Yes,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PushUpDown,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PushOnTop,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PullVert,Yes,Yes,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PullHorz,Yes,Yes,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PullUpDown,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,PullOnTop,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,GrabVert,Yes,Yes,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,GrabHorz,Yes,Yes,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,GrabUpDown,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,GrabOnTop,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,GapeVert,Yes,Yes,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,GapeHorz,Yes,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,GapeUpDown,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,GapeOnTop,No,No,Sierra Planck,Alexis Breen
Queso,MAB Plastic,,,StandOnTop,No,No,Sierra Planck,Alexis Breen
Queso,MAB Log,NA,NA,,,,NA,NA
Mole,Exploration Environment,16,16,PeckVert,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PeckHorz,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PeckUpDown,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PeckOnTop,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PushVert,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PushHorz,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PushUpDown,Yes,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PushOnTop,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PullVert,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PullHorz,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PullUpDown,Yes,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,PullOnTop,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,GrabVert,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,GrabHorz,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,GrabUpDown,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,GrabOnTop,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,GapeHorz,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,GapeUpDown,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Environment,,,StandOnTop,Yes,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,0,6,PeckVert,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PeckHorz,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PeckUpDown,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PeckOnTop,No,Yes,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PushUpDown,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PushOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PullVert,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PullHorz,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PullUpDown,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,PullOnTop,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,GrabVert,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,GrabHorz,No,No,Vincent Kiepsch,Alexis Breen
Mole,Exploration Object,,,GrabUpDown,No,No,Vincent Kiepsch,Alexis Breen
