ObserverID,Site,FocalID,BirdID,Date,TimeStamp,How,What,FoodType,TimeInViewThisFocalSec,LocationOfFocal,GPSofFocalAtEnd,ForagingTimeStamps,ForagingDuration,TranscriberID,TranscriptionDate,Notes
Corina Logan,BTGR,19,B08GK,2023-12-28,13:40,Catch,Insect,Insect,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,19,B08GK,2023-12-28,13:40,Catch,Insect,Insect,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,19,B08GK,2023-12-28,13:41,Dig,Insect,Insect,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,19,B08GK,2023-12-28,13:43,End,Focal,,258,Lake June Park: SW,"27.3042489, -81.3776448",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,20,B08GK,2023-12-28,14:06,Start,Focal,,138,Lake June Park: NE,"27.3057242, -81.3762622",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,20,B08GK,2023-12-28,14:06,State,Foraging,,138,Lake June Park: NE,"27.3057242, -81.3762622",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,20,B08GK,2023-12-28,14:06,End,Foraging,,138,Lake June Park: NE,"27.3057242, -81.3762622",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,20,B08GK,2023-12-28,14:09,End,Focal,,138,Lake June Park: NE,"27.3057242, -81.3762622",,,Corina Logan,2023-12-28,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:40,Start,Focal,,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:40,State,Foraging,,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:40,Dig,Insect,Insect,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:41,Dig,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:41,Pick up,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:42,Pick up,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:42,Pick up,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:42,Pick up,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:42,Pick up,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:42,Pick up,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:42,Pick up,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:42,Pick up,Acorn,Seed,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,21,B10PN,2023-12-29,9:42,End,Focal,,174,Lake June Park: SW,"27.3048421, -81.3773320",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,22,B10PN,2023-12-29,11:05,Start,Focal,,433,Lake June Park: SW,"27.3050074, -81.3778256",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,22,B10PN,2023-12-29,11:05,State,Foraging,,433,Lake June Park: SW,"27.3050074, -81.3778256",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,22,B10PN,2023-12-29,11:06,Dig,Insect,Insect,433,Lake June Park: SW,"27.3050074, -81.3778256",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,22,B10PN,2023-12-29,11:06,Dig,Insect,Insect,433,Lake June Park: SW,"27.3050074, -81.3778256",,,Corina Logan,2023-12-29,
Corina Logan,BTGR,22,B10PN,2023-12-29,11:06,Sweep,Insect,Insect,433,Lake June Park: SW,"27.3050074, -81.3778256",,,Corina Logan,2023-12-29,
