"","ID.1","Site","ID.2"
"252","Pavo","AZ","unbanded adult male38"
"255","Tortilla","AZ","unbanded adult female60"
"256","Tortilla","AZ","unbanded adult male39"
"259","Chimichanga","AZ","unbanded adult female17"
"260","Pepino","AZ","unbanded adult male40"
"262","Pepino","AZ","unknown adult male5"
"264","Lechuga","AZ","unbanded adult female28"
"265","Lechuga","AZ","unbanded adult male41"
"267","Lechuga","AZ","unknown adult male6"
"269","Ahumada Asada","AZ","unbanded adult female4"
"270","Ahumada Asada","AZ","unbanded adult male42"
"272","Naranja","AZ","unbanded adult female38"
"273","Naranja","AZ","unbanded adult male43"
"276","Taco","AZ","unbanded adult male44"
"278","Torta","AZ","unbanded adult female57"
"279","Torta","AZ","unbanded adult male45"
"281","Burrito","AZ","unbanded adult male46"
"283","Burrito","AZ","unknown adult male7"
"288","Adobo","AZ","unbanded adult female3"
"289","Adobo","AZ","unbanded adult male47"
"291","Memela","AZ","unknown adult female20"
"293","Memela","AZ","unknown adult male8"
"297","Taco","AZ","unbanded adult female53"
"298","Taco","AZ","unbanded adult male48"
"300","unbanded adult female68","AZ","Yuca"
"301","Burrito","AZ","unbanded adult female9"
"302","Burrito","AZ","unbanded adult male49"
"304","Burrito","AZ","unknown adult female21"
"306","Chalupa","AZ","unbanded adult female13"
"307","Chalupa","AZ","unknown adult male9"
"309","Cochinita","AZ","unbanded adult female19"
