"","MothersID","DayofYear","NestID","Interval","Fate","MalesIDinTerritory","Year","DayofYear2","FatScore","Experimenter","Body","Body2","Fatbin","Aviary"
"163","Cochinita",20108,"AN017",1,1,"UB","2020",0.392404068344523,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"164","Cochinita",20105,"AN017",1,1,"UB","2020",0.384162114046146,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"165","Cochinita",20104,"AN017",3,1,"UB","2020",0.381414795946687,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"166","Cochinita",20168,"AN080",2,1,"UB","2020",0.55724315431207,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"167","Cochinita",20118,"AN017",2,0,"UB","2020",0.419877249339114,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"168","Cochinita",20174,"AN080",4,1,"UB","2020",0.573727062908825,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"169","Cochinita",20091,"AN017",1,1,"UB","2020",0.345699660653718,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"170","Cochinita",20177,"AN080",3,1,"UB","2020",0.581969017207203,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"171","Cochinita",20116,"AN017",4,0,"UB","2020",0.414382613140196,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"172","Cochinita",20162,"AN080",2,1,"UB","2020",0.540759245715316,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"173","Cochinita",20112,"AN017",2,1,"UB","2020",0.40339334074236,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"175","Cochinita",20123,"AN017",3,0,"UB","2020",0.43361383983641,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"177","Cochinita",20166,"AN080",4,1,"UB","2020",0.551748518113152,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"178","Cochinita",20120,"AN017",2,0,"UB","2020",0.425371885538033,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"179","Cochinita",20110,"AN017",2,1,"UB","2020",0.397898704543441,0,"KM",87.290707980439,-0.85523207534323,0,"no"
"180","Crema",20108,"AN027",1,0,"Nacho","2020",0.392404068344523,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"181","Crema",19211,"AN073",13,1,"UB","2019",-2.07194026687031,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"183","Crema",19149,"AN058",7,1,"Nacho","2019",-2.24227398903678,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"184","Crema",19150,"AN058",1,1,"Nacho","2019",-2.23952667093732,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"185","Crema",20111,"AN027",3,0,"Nacho","2020",0.400646022642901,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"186","Crema",20112,"AN027",1,0,"Nacho","2020",0.40339334074236,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"187","Crema",20115,"AN036",1,1,"Nacho","2020",0.411635295040737,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"188","Crema",20117,"AN036",2,1,"Nacho","2020",0.417129931239655,1,"LB",97.2112613252374,0.402728116180946,1,"no"
"189","Crema",20107,"AN027",1,0,"Nacho","2020",0.389656750245064,1,"LB",97.2112613252374,0.402728116180946,1,"no"
