CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,AviaryOrWild,Condition,Time,IndicatedTrial,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,ApproachedFirst,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-02-19,AJB,A031-Y 2019-2-1 Boldness Time2 C2 T3,2019-02-01,KM,A031-Y,Boldness,Aviary,C2,2,3,23.20,n/a,24.60,n/a,n/a,n/a,n/a,n/a,n/a,369.00,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2019-01-31 Boldness Time2 C3 T1,2019-01-31,LB,A031-Y,Boldness,Aviary,C3,2,1,14.60,n/a,15.60,n/a,n/a,n/a,n/a,n/a,n/a,314.00,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-19,AJB,A031-Y 2019-01-31 Boldness Time2 C3 T2,2019-01-31,LB,A031-Y,Boldness,Aviary,C3,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,989.40,OutOfView,989.40,n/a,n/a,n/a,
2020-02-19,AJB,A031-Y 2019-01-31 Boldness Time2 C3 T3,2019-01-31,LB,A031-Y,Boldness,Aviary,C3,2,3,14.20,n/a,15.20,n/a,n/a,n/a,n/a,n/a,n/a,320.40,n/a,n/a,0,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P-2018-12-25 Boldness Time1 C1 T1,2018-12-25,CL,A035P,Boldness,Aviary,C1,1,1,0.00,n/a,0.00,n/a,n/a,n/a,n/a,n/a,n/a,21.00,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P-2018-12-25 Boldness Time1 C1 T2,2018-12-25,CL,A035P,Boldness,Aviary,C1,1,2,659.20,n/a,n/a,n/a,Object,n/a,94.80,659.80,Far,754.40,n/a,n/a,n/a,
2020-02-22,AJB,A035P-2018-12-25 Boldness Time1 C1 T3,2018-12-25,CL,A035P,Boldness,Aviary,C1,1,3,0.00,n/a,0.00,n/a,n/a,n/a,n/a,n/a,n/a,18.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P-2018-12-24 Boldness C2 T1,2018-12-24,CL,A035P,Boldness,Aviary,C2,1,1,2.00,n/a,6.20,n/a,n/a,n/a,n/a,n/a,n/a,309.40,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-22,AJB,A035P-2018-12-24 Boldness C2 T2,2018-12-24,CL,A035P,Boldness,Aviary,C2,1,2,532.20,n/a,n/a,n/a,Object,n/a,249.20,661.00,Far,910.00,n/a,n/a,n/a,
2020-02-22,AJB,A035P-2018-12-24 Boldness C2 T3,2018-12-24,CL,A035P,Boldness,Aviary,C2,1,3,1.00,n/a,2.40,n/a,n/a,n/a,n/a,n/a,n/a,304.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
